id;nombre_receta;categoria;tiempo_preparacion_min;dificultad;ingredientes;instrucciones
12;Cupcakes de Vainilla;Postres;50;Media;Harina, azúcar, huevos, leche, mantequilla, esencia de vainilla, polvo de hornear;1. Precalienta el horno. 2. Bate la mantequilla y el azúcar. 3. Agrega los huevos y la vainilla. 4. Incorpora la harina y la leche alternadamente. 5. Hornea por 20 minutos.
13;Pizza Casera;Rápida;40;Media;Masa para pizza, salsa de tomate, queso mozzarella, pepperoni, orégano;1. Extiende la masa. 2. Unta la salsa y añade el queso y los ingredientes. 3. Hornea a 220°C hasta que el queso se derrita.
14;Lasaña de Carne;Saludable;90;Difícil;Placas de lasaña, carne molida, salsa de tomate, queso ricotta, queso mozzarella, cebolla, ajo, orégano;1. Prepara la salsa boloñesa. 2. En un molde
15;Pollo al Curry;Rápida;30;Media;Pechuga de pollo, curry en polvo, cebolla, leche de coco, arroz basmati, cilantro fresco;1. Saltea la cebolla. 2. Añade el pollo y el curry. 3. Vierte la leche de coco y cocina a fuego lento. 4. Sirve con arroz basmati.
16;Enchiladas de Queso;Rápida;35;Media;Tortillas de maíz, queso rallado, salsa para enchiladas, cebolla, cilantro, crema agria;1. Rellena las tortillas con queso y enróllalas. 2. Colócalas en un molde para hornear. 3. Cubre con salsa y más queso. 4. Hornea por 15 minutos.
17;Macarrones con Queso;Rápida;20;Fácil;Macarrones, leche, mantequilla, harina, queso cheddar, sal, pimienta;1. Cocina los macarrones. 2. Prepara una salsa bechamel con mantequilla
18;Tarta de Manzana;Postres;60;Media;Masa de hojaldre, manzanas, canela, azúcar, mantequilla;1. Prepara la masa y el relleno de manzana. 2. Coloca el relleno sobre la masa. 3. Hornea a 180°C por 45 minutos.
19;Batido de Fresa y Banano;Saludable;5;Fácil;Fresas, banano, leche de almendras, miel, semillas de chía;1. Coloca todos los ingredientes en la licuadora. 2. Licúa hasta obtener una consistencia suave.
20;Tostadas Francesas;Rápida;15;Fácil;Pan de molde, huevos, leche, canela, azúcar, vainilla;1. Bate los huevos con leche
21;Sopa de Pollo con Fideos;Saludable;45;Media;Pechuga de pollo, zanahoria, apio, fideos, caldo de pollo, sal, pimienta;1. Cocina el pollo y las verduras en el caldo. 2. Añade los fideos y cocina hasta que estén al dente. 3. Desmenuza el pollo y vuelve a la olla.
22;Pasta con Albóndigas;Rápida;40;Media;Carne molida, pan rallado, huevo, ajo, cebolla, salsa de tomate, spaghetti;1. Prepara las albóndigas con la carne
23;Arroz con Leche;Postres;45;Media;Arroz, leche, azúcar, canela en rama, cáscara de limón;1. Lava el arroz y cuécelo en agua. 2. Escúrrelo y añade la leche
24;Puré de Papa;Saludable;25;Fácil;Papas, mantequilla, leche, sal, pimienta;1. Pela y cocina las papas hasta que estén blandas. 2. Machaca las papas y mezcla con mantequilla
25;Tortilla Española;Rápida;30;Media;Huevos, papas, cebolla, aceite de oliva, sal;1. Sofríe las papas y la cebolla en aceite. 2. Bate los huevos y mézclalos con las papas. 3. Cocina la mezcla en una sartén hasta que esté dorada.
26;Rollos de Canela;Postres;90;Difícil;Harina, levadura, azúcar, leche, mantequilla, canela, azúcar morena;1. Prepara la masa y déjala reposar. 2. Rellena la masa con mantequilla
27;Ensalada César;Saludable;15;Fácil;Lechuga romana, crutones, queso parmesano, aderezo César;1. Lava y corta la lechuga. 2. Añade los crutones y el queso. 3. Vierte el aderezo y mezcla bien.
28;Sopa de Lentejas;Saludable;45;Media;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;1. Sofríe las verduras picadas. 2. Añade las lentejas y el caldo. 3. Cocina a fuego lento hasta que las lentejas estén blandas.
29;Pollo a la Naranja;Rápida;40;Media;Pechuga de pollo, jugo de naranja, salsa de soya, ajo, jengibre, maicena;1. Cocina el pollo. 2. Prepara la salsa con jugo de naranja
30;Smoothie de Mango y Espinacas;Saludable;5;Fácil;Mango, espinacas, yogur, leche de almendras;1. Combina todos los ingredientes en una licuadora. 2. Licúa hasta que quede suave.
31;Pizza Margarita;Rápida;30;Fácil;Masa de pizza, salsa de tomate, mozzarella, albahaca fresca;1. Extiende la masa. 2. Añade la salsa
32;Galletas de Avena y Pasas;Postres;25;Fácil;Harina, avena, azúcar morena, huevos, pasas, canela, mantequilla;1. Bate la mantequilla y el azúcar. 2. Añade los huevos. 3. Incorpora la harina
33;Tacos de Pescado;Saludable;30;Media;Filete de pescado blanco, tortillas de maíz, repollo, crema agria, salsa picante;1. Cocina el pescado. 2. Calienta las tortillas. 3. Sirve el pescado con repollo
34;Crema de Brócoli;Saludable;35;Fácil;Brócoli, cebolla, ajo, caldo de pollo, crema de leche, sal, pimienta;1. Sofríe la cebolla y el ajo. 2. Añade el brócoli y el caldo. 3. Cocina hasta que el brócoli esté suave. 4. Licúa la mezcla y añade la crema de leche.
35;Hamburguesas Caseras;Rápida;20;Fácil;Carne molida, pan de hamburguesa, lechuga, tomate, cebolla, queso, salsa, pepinillos;1. Forma las hamburguesas y cocínalas. 2. Tuesta los panes. 3. Arma las hamburguesas con los vegetales y el queso.
36;Pasta Alfredo;Rápida;20;Fácil;Fettuccine, crema de leche, queso parmesano, mantequilla, ajo, perejil;1. Cocina la pasta. 2. Derrite la mantequilla y sofríe el ajo. 3. Añade la crema de leche y el queso. 4. Combina la salsa con la pasta.
37;Bizcocho de Limón;Postres;50;Media;Harina, azúcar, huevos, yogur, aceite, jugo y ralladura de limón, polvo de hornear;1. Bate los huevos con el azúcar. 2. Incorpora el yogur
38;Sopa de Tomate y Albahaca;Saludable;30;Fácil;Tomates, albahaca fresca, ajo, cebolla, caldo de vegetales, sal, pimienta;1. Sofríe la cebolla y el ajo. 2. Añade los tomates y el caldo. 3. Cocina a fuego lento. 4. Licúa y añade la albahaca.
39;Quesadillas de Queso;Rápida;10;Fácil;Tortillas de harina, queso rallado, mantequilla;1. Coloca una tortilla en una sartén. 2. Espolvorea queso sobre la tortilla. 3. Cubre con otra tortilla y cocina hasta que el queso se derrita.
40;Risotto de Champiñones;Saludable;40;Media;Arroz Arborio, champiñones, cebolla, caldo de verduras, vino blanco, queso parmesano, mantequilla;1. Sofríe la cebolla y los champiñones. 2. Añade el arroz y el vino. 3. Incorpora el caldo poco a poco. 4. Mezcla con mantequilla y queso al final.
41;Muffins de Arándanos;Postres;30;Fácil;Harina, azúcar, huevos, leche, aceite, arándanos, polvo de hornear;1. Mezcla los ingredientes secos. 2. En otro recipiente
42;Pollo Asado con Hierbas;Saludable;70;Media;Pollo entero, romero, tomillo, ajo, limón, aceite de oliva, sal, pimienta;1. Prepara el pollo y sazónalo con las hierbas y especias. 2. Rellena el pollo con rodajas de limón. 3. Hornea a 200°C hasta que esté dorado y cocido.
43;Crepes con Nutella y Frutas;Rápida;20;Fácil;Harina, huevos, leche, azúcar, mantequilla, Nutella, fresas, banano;1. Bate los ingredientes para la masa de crepes. 2. Cocina los crepes en una sartén. 3. Rellena con Nutella y frutas.
44;Hummus Casero;Saludable;15;Fácil;Garbanzos, tahini, ajo, jugo de limón, aceite de oliva, comino, sal;1. Mezcla todos los ingredientes en un procesador de alimentos. 2. Procesa hasta que quede una pasta suave.
45;Chuletas de Cerdo a la Naranja;Rápida;35;Media;Chuletas de cerdo, jugo de naranja, miel, salsa de soya, ajo, jengibre;1. Prepara la marinada con los ingredientes. 2. Marina las chuletas por 15 minutos. 3. Cocina las chuletas en una sartén con la marinada.
46;Cheesecake sin Horno;Postres;30;Fácil;Galletas, mantequilla, queso crema, azúcar en polvo, crema batida, vainilla;1. Prepara la base de galletas. 2. Bate el queso crema con azúcar y vainilla. 3. Incorpora la crema batida. 4. Vierte sobre la base y refrigera por 4 horas.
47;Papas Rellenas al Horno;Saludable;60;Media;Papas, queso cheddar, brócoli, crema agria, tocino, sal, pimienta;1. Hornea las papas hasta que estén suaves. 2. Saca el interior de las papas y machácalo. 3. Mezcla con el resto de los ingredientes y rellena las papas. 4. Hornea de nuevo hasta que el queso se derrita.
48;Smoothie de Moras y Menta;Saludable;5;Fácil;Moras, hojas de menta fresca, yogur griego, leche de almendras, miel;1. Combina todos los ingredientes en la licuadora. 2. Licúa hasta que quede suave y homogéneo.
49;Ceviche de Camarón;Saludable;25;Fácil;Camarones, jugo de limón, cebolla morada, cilantro, tomate, jalapeño, sal;1. Cocina los camarones. 2. Pica finamente los vegetales. 3. Mezcla todo con el jugo de limón y sazona.
50;Fideos Salteados con Carne de Res;Rápida;25;Media;Fideos de arroz, carne de res, brócoli, pimientos, cebolla, salsa de soya, ajo, jengibre;1. Cocina los fideos. 2. Saltea la carne y los vegetales. 3. Agrega los fideos y la salsa de soya.
51;Pollo con Champiñones en Salsa de Crema;Rápida;30;Fácil;Pechuga de pollo, champiñones, crema de leche, ajo, cebolla, perejil, sal, pimienta;1. Saltea la cebolla y el pollo. 2. Agrega los champiñones y el ajo. 3. Vierte la crema y el perejil. 4. Sirve sobre pasta o arroz.
52;Galletas de Chispas de Chocolate;Postres;20;Fácil;Harina, mantequilla, azúcar, huevos, chispas de chocolate, bicarbonato de sodio, sal;1. Bate la mantequilla y los azúcares. 2. Agrega los huevos y la vainilla. 3. Incorpora la harina
53;Sándwich Club;Rápida;15;Fácil;Pan de molde, pechuga de pavo, tocino, lechuga, tomate, mayonesa, queso, aguacate;1. Tuesta el pan. 2. Cocina el tocino y el pavo. 3. Arma el sándwich en capas con todos los ingredientes.
54;Crema de Calabaza;Saludable;40;Media;Calabaza, cebolla, zanahoria, caldo de verduras, jengibre, crema de leche, sal, pimienta;1. Sofríe la cebolla y la zanahoria. 2. Agrega la calabaza y el caldo. 3. Cocina hasta que la calabaza esté suave. 4. Licúa y añade la crema.
55;Brochetas de Pollo y Vegetales;Saludable;25;Fácil;Pechuga de pollo, pimientos, cebolla, calabacín, salsa de soya, miel, jengibre;1. Corta el pollo y los vegetales. 2. Ensarta en brochetas y marina con la salsa. 3. Cocina a la parrilla o en el horno.
56;Arroz a la Cubana;Rápida;20;Fácil;Arroz, huevos, plátanos maduros, salsa de tomate, salchichas;1. Cocina el arroz. 2. Fríe los huevos y los plátanos. 3. Cocina las salchichas. 4. Sirve todo junto con salsa de tomate.
57;Helado Casero de Vainilla;Postres;120;Media;Crema de leche, leche, azúcar, yemas de huevo, vainilla;1. Calienta la leche y la crema. 2. Bate las yemas con el azúcar. 3. Mezcla todo y cocina a fuego lento. 4. Deja enfriar y congela.
58;Sopa de Brócoli con Queso;Saludable;35;Fácil;Brócoli, caldo de pollo, cebolla, ajo, queso cheddar, crema de leche, sal, pimienta;1. Cocina el brócoli
59;Tostada de Aguacate;Saludable;5;Fácil;Pan integral, aguacate, sal, pimienta, hojuelas de chile;1. Tuesta el pan. 2. Machaca el aguacate sobre el pan. 3. Sazona con sal
60;Estofado de Carne;Saludable;120;Difícil;Carne de res para estofado, zanahorias, papas, cebolla, caldo de res, vino tinto, especias;1. Dora la carne. 2. Sofríe las verduras. 3. Mezcla todo con el caldo y el vino. 4. Cocina a fuego lento por 2 horas.
61;Mousaka;Saludable;90;Difícil;Carne molida, berenjenas, papas, salsa de tomate, bechamel, queso rallado;1. Corta y fríe las berenjenas y papas. 2. Prepara la salsa de carne y la bechamel. 3. Arma las capas en un molde. 4. Hornea por 40 minutos.
62;Batido de proteína;Saludable;5;Fácil;Polvo de proteína, leche, banano, espinacas;1. Licúa todos los ingredientes hasta que quede suave.
63;Ensalada de Atún;Rápida;10;Fácil;Atún en lata, mayonesa, apio picado, cebolla picada, sal, pimienta;1. Mezcla todos los ingredientes en un tazón. 2. Sirve en pan
64;Galletas de Jengibre;Postres;30;Media;Harina, mantequilla, azúcar, melaza, jengibre en polvo, canela, clavo de olor, bicarbonato;1. Mezcla los ingredientes secos. 2. Bate la mantequilla y el azúcar. 3. Combina todo y forma las galletas. 4. Hornea a 180°C.
65;Tortilla de Espinacas;Saludable;15;Fácil;Huevos, espinacas frescas, queso feta, sal, pimienta;1. Saltea las espinacas. 2. Bate los huevos con el queso. 3. Combina y cocina en una sartén.
66;Sopa de Tortilla;Rápida;30;Media;Tortillas de maíz, caldo de pollo, tomate, chile, aguacate, queso, crema;1. Fríe tiras de tortilla. 2. Prepara el caldo de tomate. 3. Sirve el caldo con las tiras de tortilla y los aderezos.
67;Cheesecake de Oreo;Postres;120;Difícil;Galletas Oreo, mantequilla, queso crema, azúcar, crema batida;1. Tritura las galletas y haz una base. 2. Prepara la mezcla de queso crema y azúcar. 3. Combina la crema batida. 4. Refrigera por varias horas.
68;Ensalada Griega;Saludable;15;Fácil;Pepino, tomate, cebolla morada, aceitunas, queso feta, aceite de oliva, orégano;1. Corta todos los vegetales. 2. Mezcla con el queso
69;Pollo con Pimientos y Cebolla;Rápida;30;Fácil;Pechuga de pollo, pimientos, cebolla, ajo, salsa de soya;1. Saltea el pollo hasta que esté dorado. 2. Agrega los pimientos
70;Tiramisú;Postres;45;Difícil;Bizcochos de soletilla, café espresso, mascarpone, huevos, azúcar, cacao en polvo;1. Prepara el café. 2. Bate las yemas con azúcar. 3. Mezcla el mascarpone. 4. Alterna capas de bizcochos remojados
71;Ensalada de Pasta;Saludable;25;Fácil;Pasta corta, tomate cherry, pepino, cebolla roja, aceitunas, queso feta, aderezo italiano;1. Cocina la pasta. 2. Pica los vegetales. 3. Mezcla todo con el aderezo.
72;Arroz con Pollo;Rápida;40;Media;Arroz, pollo, arvejas, zanahoria, cebolla, ajo, pimiento, caldo de pollo;1. Sofríe las verduras. 2. Añade el pollo y el arroz. 3. Vierte el caldo y cocina hasta que el arroz esté listo.
73;Milanesa de Cerdo;Rápida;25;Fácil;Filetes de cerdo, pan rallado, huevo, harina, aceite;1. Pasa los filetes por harina
74;Waffles;Rápida;20;Fácil;Harina, huevo, leche, mantequilla derretida, azúcar, polvo de hornear;1. Mezcla los ingredientes secos. 2. Combina los líquidos. 3. Une ambas mezclas. 4. Cocina en una waflera.
75;Soufflé de Queso;Postres;50;Difícil;Queso rallado, huevos, harina, leche, mantequilla, sal, pimienta;1. Prepara la salsa bechamel. 2. Separa las claras de las yemas. 3. Mezcla las yemas con la salsa. 4. Bate las claras a punto de nieve. 5. Incorpora suavemente las claras a la mezcla. 6. Hornea.
76;Tostada con Tomate y Aguacate;Saludable;5;Fácil;Pan de centeno, tomate, aguacate, sal, pimienta, aceite de oliva;1. Tuesta el pan. 2. Pica el tomate y el aguacate. 3. Coloca sobre el pan y sazona.
77;Sopa de Verduras;Saludable;30;Fácil;Zanahorias, papas, apio, cebolla, caldo de verduras, sal, pimienta;1. Pica las verduras y cocina en el caldo hasta que estén suaves. 2. Condimenta al gusto.
78;Albóndigas en Salsa de Tomate;Rápida;35;Media;Carne molida, pan rallado, huevo, cebolla, ajo, salsa de tomate;1. Prepara las albóndigas. 2. Cocínalas en la salsa de tomate a fuego lento.
79;Budín de Pan;Postres;60;Fácil;Pan viejo, leche, huevos, azúcar, vainilla, pasas, canela;1. Remoja el pan en la leche. 2. Mezcla con el resto de los ingredientes. 3. Vierte en un molde y hornea a baño maría.
80;Huevos Revueltos;Rápida;5;Fácil;Huevos, mantequilla, sal, pimienta;1. Bate los huevos con sal y pimienta. 2. Cocina en una sartén con mantequilla a fuego medio.
81;Bistec encebollado;Rápida;25;Fácil;Bistec de res, cebolla, ajo, salsa de soya, jugo de limón;1. Cocina el bistec. 2. Saltea la cebolla con el ajo. 3. Agrega el bistec y la salsa de soya.
82;Tarta de Chocolate sin Harina;Postres;45;Difícil;Chocolate amargo, mantequilla, huevos, azúcar, cacao en polvo;1. Derrite el chocolate y la mantequilla. 2. Bate los huevos con el azúcar. 3. Mezcla todo y hornea a 180°C.
83;Sopa de Cebolla;Saludable;45;Media;Cebollas, mantequilla, caldo de res, vino blanco, pan, queso Gruyere;1. Carameliza las cebollas. 2. Añade el vino y el caldo. 3. Sirve en tazones con pan y queso
84;Pollo en Salsa Teriyaki;Rápida;30;Fácil;Pechuga de pollo, salsa teriyaki, ajo, jengibre, ajonjolí;1. Corta y cocina el pollo. 2. Agrega la salsa teriyaki
85;Muffins de Chocolate;Postres;30;Fácil;Harina, cacao en polvo, azúcar, huevos, leche, aceite, chispas de chocolate, polvo de hornear;1. Mezcla los ingredientes secos. 2. Bate los líquidos. 3. Combina ambas mezclas. 4. Hornea a 180°C.
86;Pescado al Vapor;Saludable;20;Fácil;Filete de pescado blanco, jengibre, cebollín, salsa de soya, aceite de sésamo;1. Coloca el pescado con el jengibre y cebollín. 2. Cocina al vapor. 3. Vierte la salsa de soya y aceite de sésamo.
87;Sopa de Puerro y Papa;Saludable;40;Fácil;Puerros, papas, cebolla, caldo de pollo, crema de leche, sal, pimienta;1. Sofríe los puerros y la cebolla. 2. Añade las papas y el caldo. 3. Cocina hasta que las verduras estén suaves. 4. Licúa y añade la crema.
88;Pasta Pesto;Rápida;15;Fácil;Pasta, albahaca fresca, piñones, ajo, queso parmesano, aceite de oliva;1. Cocina la pasta. 2. Prepara el pesto en un procesador. 3. Mezcla el pesto con la pasta.
89;Sándwich de Atún;Rápida;5;Fácil;Atún en lata, mayonesa, pan, lechuga, tomate;1. Mezcla el atún con mayonesa. 2. Prepara el sándwich con la mezcla de atún y vegetales.
90;Tortitas de Calabacín;Saludable;20;Fácil;Calabacín rallado, huevos, harina, cebolla, queso parmesano, sal, pimienta;1. Ralla el calabacín y exprime el exceso de agua. 2. Mezcla con el resto de los ingredientes. 3. Forma tortitas y cocina en una sartén.
91;Pan de Banano;Postres;60;Media;Banano maduro, harina, azúcar, huevos, mantequilla, bicarbonato de sodio;1. Machaca los bananos. 2. Mezcla con los huevos
92;Arroz con Camarones;Rápida;30;Media;Arroz, camarones, cebolla, pimientos, ajo, tomate, caldo de camarón;1. Sofríe los vegetales. 2. Añade los camarones y el arroz. 3. Vierte el caldo y cocina hasta que el arroz esté listo.
93;Galletas de Mantequilla;Postres;25;Fácil;Harina, mantequilla, azúcar, huevo, vainilla;1. Bate la mantequilla con el azúcar. 2. Agrega el huevo y la vainilla. 3. Incorpora la harina. 4. Refrigera la masa y luego forma las galletas. 5. Hornea a 180°C.
94;Sopa de Lentejas;Saludable;45;Media;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;1. Sofríe las verduras picadas. 2. Añade las lentejas y el caldo. 3. Cocina a fuego lento hasta que las lentejas estén blandas.
95;Tacos de Pollo;Rápida;30;Fácil;Pechuga de pollo, tortillas de maíz, lechuga, tomate, crema agria, queso rallado, especias para tacos;1. Cocina y desmenuza el pollo. 2. Calienta las tortillas. 3. Sirve el pollo con los vegetales y los aderezos.
96;Smoothie de Frutas;Saludable;5;Fácil;Banano, fresas, yogur, leche, miel;1. Coloca todos los ingredientes en una licuadora. 2. Licúa hasta obtener una mezcla homogénea.
97;Panqueques con Frutas;Rápida;15;Fácil;Harina, huevo, leche, azúcar, polvo de hornear, arándanos, banano;1. Mezcla los ingredientes secos. 2. En otro recipiente
98;Arroz Frito con Verduras;Rápida;20;Fácil;Arroz cocido, zanahoria, guisantes, cebolla, salsa de soya, huevo, aceite de sésamo;1. Sofríe las verduras en un wok. 2. Añade el arroz y la salsa de soya. 3. Incorpora el huevo revuelto.
99;Crema de Tomate;Saludable;35;Fácil;Tomates, cebolla, ajo, caldo de pollo, crema de leche, albahaca fresca, sal, pimienta;1. Sofríe la cebolla y el ajo. 2. Añade los tomates y el caldo. 3. Cocina a fuego lento. 4. Licúa y mezcla con la crema.
100;Cupcakes de Vainilla;Postres;50;Media;Harina, azúcar, huevos, leche, mantequilla, esencia de vainilla, polvo de hornear;1. Precalienta el horno. 2. Bate la mantequilla y el azúcar. 3. Agrega los huevos y la vainilla. 4. Incorpora la harina y la leche alternadamente. 5. Hornea por 20 minutos.
101;Pizza Casera;Rápida;40;Media;Masa para pizza, salsa de tomate, queso mozzarella, pepperoni, orégano;1. Extiende la masa. 2. Unta la salsa y añade el queso y los ingredientes. 3. Hornea a 220°C hasta que el queso se derrita.
102;Lasaña de Carne;Saludable;90;Difícil;Placas de lasaña, carne molida, salsa de tomate, queso ricotta, queso mozzarella, cebolla, ajo, orégano;1. Prepara la salsa boloñesa. 2. En un molde
103;Pollo al Curry;Rápida;30;Media;Pechuga de pollo, curry en polvo, cebolla, leche de coco, arroz basmati, cilantro fresco;1. Saltea la cebolla. 2. Añade el pollo y el curry. 3. Vierte la leche de coco y cocina a fuego lento. 4. Sirve con arroz basmati.
104;Enchiladas de Queso;Rápida;35;Media;Tortillas de maíz, queso rallado, salsa para enchiladas, cebolla, cilantro, crema agria;1. Rellena las tortillas con queso y enróllalas. 2. Colócalas en un molde para hornear. 3. Cubre con salsa y más queso. 4. Hornea por 15 minutos.
105;Macarrones con Queso;Rápida;20;Fácil;Macarrones, leche, mantequilla, harina, queso cheddar, sal, pimienta;1. Cocina los macarrones. 2. Prepara una salsa bechamel con mantequilla
106;Tarta de Manzana;Postres;60;Media;Masa de hojaldre, manzanas, canela, azúcar, mantequilla;1. Prepara la masa y el relleno de manzana. 2. Coloca el relleno sobre la masa. 3. Hornea a 180°C por 45 minutos.
107;Batido de Fresa y Banano;Saludable;5;Fácil;Fresas, banano, leche de almendras, miel, semillas de chía;1. Coloca todos los ingredientes en la licuadora. 2. Licúa hasta obtener una consistencia suave.
108;Tostadas Francesas;Rápida;15;Fácil;Pan de molde, huevos, leche, canela, azúcar, vainilla;1. Bate los huevos con leche
109;Sopa de Pollo con Fideos;Saludable;45;Media;Pechuga de pollo, zanahoria, apio, fideos, caldo de pollo, sal, pimienta;1. Cocina el pollo y las verduras en el caldo. 2. Añade los fideos y cocina hasta que estén al dente. 3. Desmenuza el pollo y vuelve a la olla.
110;Pasta con Albóndigas;Rápida;40;Media;Carne molida, pan rallado, huevo, ajo, cebolla, salsa de tomate, spaghetti;1. Prepara las albóndigas con la carne
111;Arroz con Leche;Postres;45;Media;Arroz, leche, azúcar, canela en rama, cáscara de limón;1. Lava el arroz y cuécelo en agua. 2. Escúrrelo y añade la leche
112;Puré de Papa;Saludable;25;Fácil;Papas, mantequilla, leche, sal, pimienta;1. Pela y cocina las papas hasta que estén blandas. 2. Machaca las papas y mezcla con mantequilla
113;Tortilla Española;Rápida;30;Media;Huevos, papas, cebolla, aceite de oliva, sal;1. Sofríe las papas y la cebolla en aceite. 2. Bate los huevos y mézclalos con las papas. 3. Cocina la mezcla en una sartén hasta que esté dorada.
114;Rollos de Canela;Postres;90;Difícil;Harina, levadura, azúcar, leche, mantequilla, canela, azúcar morena;1. Prepara la masa y déjala reposar. 2. Rellena la masa con mantequilla
115;Ensalada César;Saludable;15;Fácil;Lechuga romana, crutones, queso parmesano, aderezo César;1. Lava y corta la lechuga. 2. Añade los crutones y el queso. 3. Vierte el aderezo y mezcla bien.
116;Sopa de Lentejas;Saludable;45;Media;Lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras, laurel, sal, pimienta;1. Sofríe las verduras picadas. 2. Añade las lentejas y el caldo. 3. Cocina a fuego lento hasta que las lentejas estén blandas.
117;Pollo a la Naranja;Rápida;40;Media;Pechuga de pollo, jugo de naranja, salsa de soya, ajo, jengibre, maicena;1. Cocina el pollo. 2. Prepara la salsa con jugo de naranja
118;Smoothie de Mango y Espinacas;Saludable;5;Fácil;Mango, espinacas, yogur, leche de almendras;1. Combina todos los ingredientes en una licuadora. 2. Licúa hasta que quede suave.
119;Pizza Margarita;Rápida;30;Fácil;Masa de pizza, salsa de tomate, mozzarella, albahaca fresca;1. Extiende la masa. 2. Añade la salsa
120;Galletas de Avena y Pasas;Postres;25;Fácil;Harina, avena, azúcar morena, huevos, pasas, canela, mantequilla;1. Bate la mantequilla y el azúcar. 2. Añade los huevos. 3. Incorpora la harina
121;Tacos de Pescado;Saludable;30;Media;Filete de pescado blanco, tortillas de maíz, repollo, crema agria, salsa picante;1. Cocina el pescado. 2. Calienta las tortillas. 3. Sirve el pescado con repollo
122;Crema de Brócoli;Saludable;35;Fácil;Brócoli, cebolla, ajo, caldo de pollo, crema de leche, sal, pimienta;1. Sofríe la cebolla y el ajo. 2. Añade el brócoli y el caldo. 3. Cocina hasta que el brócoli esté suave. 4. Licúa la mezcla y añade la crema de leche.
123;Hamburguesas Caseras;Rápida;20;Fácil;Carne molida, pan de hamburguesa, lechuga, tomate, cebolla, queso, salsa, pepinillos;1. Forma las hamburguesas y cocínalas. 2. Tuesta los panes. 3. Arma las hamburguesas con los vegetales y el queso.
124;Pasta Alfredo;Rápida;20;Fácil;Fettuccine, crema de leche, queso parmesano, mantequilla, ajo, perejil;1. Cocina la pasta. 2. Derrite la mantequilla y sofríe el ajo. 3. Añade la crema de leche y el queso. 4. Combina la salsa con la pasta.
125;Bizcocho de Limón;Postres;50;Media;Harina, azúcar, huevos, yogur, aceite, jugo y ralladura de limón, polvo de hornear;1. Bate los huevos con el azúcar. 2. Incorpora el yogur
126;Sopa de Tomate y Albahaca;Saludable;30;Fácil;Tomates, albahaca fresca, ajo, cebolla, caldo de vegetales, sal, pimienta;1. Sofríe la cebolla y el ajo. 2. Añade los tomates y el caldo. 3. Cocina a fuego lento. 4. Licúa y añade la albahaca.
